Date,Username,Comment
1/5/2026,mkyjpx,"kalau mau ganti bpjs pbi ke pbpu mandiri gimana yaa? nah aku mau ganti punyaku saja, punya mama papa tidak. apakah bisa? @grok"
1/5/2026,grok,"@mkyjpx Ya, bisa ganti BPJS PBI ke PBPU mandiri hanya punyamu sendiri, tanpa ubah punya mama papa, asal data KK memungkinkan. Cara: - Via app Mobile JKN: Login, pilih ""Ubah Data Peserta"" &gt; ""Ubah Segmen"" &gt; pilih PBPU &gt; submit dokumen (e-KTP, KK, rek. bank). - Atau WhatsApp Pandawa"
1/5/2026,BPJSKesehatanRI,"@elllaylaaaa Sore. Jika terdaftar PBI, penentu keaktifan Peserta PBPU dan BP PEMDA sesuai perjanjian kerja sama antara PEMDA dengan BPJS Kesehatan, PBI JK sesuai DTSEN yang ditentukan oleh Pemerintah Pusat sesuai SK Kemensos. Pengaktifan ke Dinsos membawa KK dan KTP. Terima kasih. :) -rara"
1/5/2026,balipuspanews,"Sharing Iuran BPJS PBI Turun Drastis, Dewan Buleleng Bersuara Keras https://t.co/XTAdYmeJYb"
1/5/2026,sukabngtmacaw,"@uibaseNG untuk periksa mata gratis kak, beli kacamata pake BPJS bsa tergantung kelas BPJS kamu ya dan sistemnya potongan harga sih. (Kelas 1: Rp330.000, Kelas 2: Rp220.000, Kelas 3/PBI: Rp165.000). Misal Harga Kacamata 300rb dan kamu BPJS kelas 3, berarti kamu nambah 135."
1/6/2026,updatebalii,Alokasi dana sharing iuran kepesertaan Penerima Bantuan Iuran (PBI) BPJS Kesehatan dari Pemerintah Provinsi Bali ke Kabupaten Buleleng turun drastis. #BPJSKesehatan #Dewan #Buleleng https://t.co/0Y7QpeX6s3
1/6/2026,Rianhartanto387,@AndhaYannhi @drnewstwit Ya memang mahal banget 1 paket daripada buat beli gituan mending berobat ke spesialis. Kadanga ada logika aneh berobat pake BPJS PBI tapi beli obat Herbal dan produk AFC maksain beli cash
1/6/2026,ZHABLUEWOO,"@tanyakanrl sorry oot, mau nanya:( aku kan sebelumnya punya bpjs pbi yg gratis dri pemerintah, trs aku kerja di perusahaan A, aku baru tau bpjsku berubah jdi bpjs ppu kelas 2 yg dibayarkan oleh perusahaan, after beberapa bulan aku resign dan bpjsku ga aktif lgi:( ada yg pernah jg ga?"
1/6/2026,Meryansr,"@tanyakanrl btw nenekku pake bpjs pbi tapi pas di cek ternyata udah ga aktif, klo misal mau aktifin lagi apa bakal ada case kya di atas? bayar tunggakan selama ga aktif?"
1/6/2026,Hagia_haura,"@Meryansr @tanyakanrl Kayaknya enggak kak, dulu aku pbi tapi pas mau berobat ternyata bpjsku nggk aktif dan tidak ada tagihan habis itu aku ganti ke bpjs mandiri"
1/6/2026,meripahamify,"@BPJSKesehatanRI @BPJSTKinfo hai min, kalau didaftarkan bpjs ketenagakerjaan oleh perusahaan tapi tidak daftarkan bpjs kesehatan, apakah bpjs pbi akan dicabut?"
1/6/2026,dixie_pp,@ZHABLUEWOO @tanyakanrl Hrs y konfirmasi ke tmpt krja gak ikut BPJS kesehatan dr perusahaan krna udh aktif pbi
1/6/2026,cleofitri3,"@pram_sj99 @tanyakanrl Gini.. awalnya masuk PBI. Aturan PBI harus digunakan tiap beberapa waktu sekali, walaupun ga sakit cukup buat general cek up di faskes 1. Kalau ga kepake, otomatis off. Kemudian kalau si penerima bpjs pbi ini tiba2 mau aktifin, dia harus membayar dr off smpe saat mau digunakan"
1/6/2026,sejumputtanah,"@Meryansr @tanyakanrl Pengalamanku kak kemaren daftarin ibuku jadi pbi sudah terhenti dari agt, kemudian supaya bpjs bisa lanjut terus harus diubah ke mandiri, aku daftarin ibu di bulan nov kemaren dan tidak ada tunggakan sama sekali"
1/6/2026,bucinapabuncit,@tanyakanrl sedikasihnya aja gak sih nder? Btw bpjs di persulit kah? Soalnya aku tiap bulan ke dokter pake bpjs dan aman2 aja (tapi pakainya bpjs yg dikasih kantor) bukan yg gratis pemerintah tapi meski pbi setauku mah aman2 aja. Apa tergantung klinik/puskesmas ya🤔
1/6/2026,iamnggls,"@Meryansr @tanyakanrl Nggak kak, kalau dri pbi ke mandiri nggak. Sama case nya kalau bpjs dri perusahaan terus kita kena lay off statusnya bakal ""berhenti di akhir bulan"". Jd ga ada tunggakan di bulan dpnnya."
1/6/2026,bothfakeandreal,"@AisyahFirel @tanyakanrl Kalo masih dalam bentuk kartu KIS nya gue gatau, tapi gue awalnya peserta kartu KIS yg dipindah ke BPJS. Jadi pas di BPJS gue masuknya yg PBI, ga usah iuran alias gratis. Jadi buat yg punya kartu KIS bisa kok dipindah ke BPJS"
1/6/2026,ZHABLUEWOO,@milkkamoo @tanyakanrl pernah kaa pihak kantor desa nyaranin aku langsung ke dinsos sedangkan dri dinsos sendiri bilang untuk status bpjs gabisa di ubah kembali ke pbi 😔
1/6/2026,rosegolfd,"@tanyakanrl bpjs harus punya , atau ajukan pbi aja klo bisa biar gratis. mental harus kuat , klo lemah bisa gila ntar. tapi ajaibnya punya anak itu rasanya bahagia tapi cape , tapi harus ikhlas. klo soal rejeki baru 1 anak insya Allah ada darimana aja asal jangan hedon gayanya."
1/6/2026,blacktulippe,"Kebetulan data aku masuk sebagai peserta bpjs pbi karna panjang ceritanya. Terus liat ini ada yg bilang bpjs pbi wajib dipake minimal sekali atau nanti ga aktif. Sedangkan selama ini tiap sakit/cek up selalu pake umum ga pernah bpjs, tp status di bpjs masih aktif sampe sekarang"
1/8/2026,BPJSKesehatanRI,@herman_chou73 Salam. Peralihan segmen dari PBI JK Aktif ke PBPU/ Mandiri dilakukan melalui Kantor Cabang BPJS Kesehatan. Namun jika memilih kelas rawat 3 saat alih segmen ke PBPU/ Mandiri silakan dapat melapor ke Dinas Sosial untuk penghapusan data peserta di DTSEN. Terima kasih. :) -etha
1/8/2026,BPJSKesehatanRI,"@whi_brmmmm Salam. Data kepesertaan PBI diperbarui secara periodik. Penentu keaktifan peserta PBPU dan BP PEMDA sesuai perjanjian kerja sama antara Pemerintah Daerah dengan BPJS Kesehatan, sedangkan peserta PBI JK sesuai DTSEN yang ditentukan oleh Pemerintah Pusat sesuai SK KEMENSOS. (1/2)"
1/8/2026,oktadorable,"Per 1 Januari kemarin, pemerintah melalui kemensos menonaktifkan bbrp (banyak sih) BPJS PBI bagi sebagian masyarakat. Kenapa ya pemerintah ngeutamain MBG drpd menambah subsidi kesehatan, atau pendidikan. Pdhl biaya kesehatan sebetulnya mahal bgt bagi masyarakat Indonesia"
1/8/2026,oktadorable,Nah yg kaya gini didahuluin. Yg bpjs pbi malah pada banyak dinonaktifin. Emg udh gila
1/8/2026,ayamgepreqx,mules banget mikirin BPJS PBI yang non aktif
1/8/2026,pipinyawinwin,"@cuntdi @rchlgrtl Terus masalah biaya, mungkin bisa dicek kak siapa tau bisa terhitung BPJS PBI jadi gaperlu iuran setiap bulan"
1/9/2026,eka_rafikaaa,Peserta BPJS PBI dipangkas habis kira-kira duitnya dipake kemana hayooo???
1/9/2026,Dedeleniyulian3,@BPJSKesehatanRI hallo bpjs. Saya adalah penerima BPJS PBI JK pemerintah. Nah bpjs saya di nonaktifkan pemerintah. Saya mau mengaktifasi kembali. Tapi pas mau aktifasi kenapa saya harus membayar tunggakan selama di non aktifkan ya?
1/9/2026,madokafc1,"@indragoenawan @jiwandhono @eDzulfikar Makanya urus bpjs, jgn telat bayar iuran. Kalo masih ga mampu urus pbi!!! Jgn males cari info"
1/10/2026,Tribun_Gto,Masuk PBI-JK 2026 atau Tidak? Ini Link Resmi Cek BPJS Kesehatan Gratis. https://t.co/ZjxB6e3CT5
1/10/2026,tvrijateng,"PBI Dinonaktifkan, BPJS Beriman Solusi Alih Segmen. #jatengterkini Kamis, 08 Januari 2026. Pasca penonaktifan sementara kepersetaan penerima bantuan iuran di Kab Batang BPJS Kesehatan memberikan arahan agar peserta tetap mendapatkan layanan kesehatan. https://t.co/dRLBVuELvP"
